chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_1b5aed46623236f6,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-03-14,2026-04-06T00:00:00
it_helpdesk_faq_2_b49d2cb54042efb2,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2025-08-30,2026-04-07T00:00:00
policy_refund_v4_3_34c0f72aed619899,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-03-30,2026-04-02T00:00:00
policy_refund_v4_4_8a6c9c1b43db3d8e,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-12-14,2026-04-03T00:00:00
policy_refund_v4_5_560803dbe72c5e82,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2025-02-19,2026-04-07T00:00:00
hr_leave_policy_6_8b6edf4f8dfc4cd9,hr_leave_policy,Nội dung không rõ ràng: Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-01-11,2026-04-07T00:00:00
it_helpdesk_faq_7_8481f3728e077352,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Chú ý: effective_date không đồng nhất giữa các nguồn.,2025-02-24,2026-04-05T00:00:00
it_helpdesk_faq_8_492cbec9420310fc,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2025-05-29,2026-04-08T00:00:00
policy_refund_v4_9_3399cf431d9e98e3,policy_refund_v4,!!!Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn.,2025-04-01,2026-04-07T00:00:00
sla_p1_2026_10_69a21997daa5aca4,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-03-15,2026-04-04T00:00:00
policy_refund_v4_11_3b4a78a35051d377,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc làm việc kể từ thời điểm xác nhận đơn hàng.,2025-11-24,2026-04-06T00:00:00
it_helpdesk_faq_12_3133a61cb751f5ac,it_helpdesk_faq,Nội dung không rõ ràng: Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-01-04,2026-04-02T00:00:00
it_helpdesk_faq_13_6285a8f809fb336a,it_helpdesk_faq,Nội dung không rõ ràng: FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2026-01-15,2026-04-08T00:00:00
policy_refund_v4_14_52dba13ad6fcb78b,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng. Nội dung có thể bị trùng do sync lại dữ liệu.,2025-10-26,2026-04-02T00:00:00
access_control_sop_15_c6b741ac9bb9db3a,access_control_sop,Level 4 Admin Access yêu cầu phê duyệt bởi IT Manager và CISO. Thời gian xử lý: 5 ngày làm việc. Yêu cầu thêm: training bắt buộc về security policy.,2026-01-01,2026-04-08T00:00:00
access_control_sop_16_7d4e203bed37c980,access_control_sop,Thời gian xử lý cấp quyền Standard Access là bao lâu? Standard Access Level 2 turnaround là 2 ngày làm việc. Quyền Standard Access (Level 2) được xử lý trong 2 ngày làm việc sau khi Line Manager và IT Admin phê duyệt. [cleaned: access_standard_turnaround_enrichment],2026-01-01,2026-04-08T00:00:00
access_control_sop_17_24759888aa044ae8,access_control_sop,Level 1 Read Only: phê duyệt bởi Line Manager. Thời gian xử lý: 1 ngày làm việc. Áp dụng cho nhân viên mới 30 ngày đầu.,2026-01-01,2026-04-09T00:00:00
access_control_sop_18_b714b79314307b86,access_control_sop,Level 3 Elevated Access: phê duyệt bởi Line Manager + IT Admin + IT Security. Thời gian xử lý: 3 ngày làm việc.,2026-01-01,2026-04-09T00:00:00
access_control_sop_19_8e34e05ba1020643,access_control_sop,Escalation khẩn cấp: On-call IT Admin cấp quyền tạm thời max 24 giờ sau khi được Tech Lead phê duyệt.,2026-01-01,2026-04-10T00:00:00
